Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,0.087061,0.310463,0.078012,0.188221,0.188221,15215
2019-06-13,0.218096,0.806766,0.183855,0.340936,0.340936,53317
2019-06-14,0.334744,0.447536,0.258866,0.344985,0.344985,44987
2019-06-15,0.345133,0.365141,0.193398,0.221625,0.221625,12723
2019-06-16,0.221625,0.296234,0.167257,0.212395,0.212395,8806
2019-06-17,0.212595,0.319776,0.175808,0.188402,0.188402,8153
2019-06-18,0.188320,0.273910,0.183012,0.226284,0.226284,5862
2019-06-19,0.226438,0.228223,0.139735,0.181061,0.181061,4579
2019-06-20,0.181026,0.188554,0.130968,0.135167,0.135167,1926
2019-06-21,0.135264,0.170826,0.135249,0.144570,0.144570,3371
2019-06-22,0.144993,0.165211,0.107023,0.133304,0.133304,1714
2019-06-23,0.133326,0.273857,0.112118,0.238073,0.238073,9064
2019-06-24,0.238073,0.263730,0.183116,0.188167,0.188167,4730
2019-06-25,0.187983,0.263513,0.165631,0.194767,0.194767,5226
2019-06-26,0.194767,0.287040,0.186695,0.227652,0.227652,11232
2019-06-27,0.227652,0.236195,0.168578,0.175478,0.175478,2136
2019-06-28,0.175757,0.200809,0.173450,0.179595,0.179595,2223
2019-06-29,0.179738,0.205343,0.153277,0.196297,0.196297,3125
2019-06-30,0.196135,0.199458,0.161830,0.161830,0.161830,1899
2019-07-01,0.161830,0.189406,0.161330,0.177907,0.177907,386
2019-07-02,0.178049,0.203168,0.157955,0.181669,0.181669,1656
2019-07-03,0.181693,0.207901,0.173507,0.196080,0.196080,1634
2019-07-04,0.196066,0.244843,0.195018,0.228626,0.228626,2141
2019-07-05,0.228564,0.229912,0.200762,0.217290,0.217290,2178
2019-07-06,0.217172,0.230634,0.167432,0.168008,0.168008,1701
2019-07-07,0.168005,0.196838,0.167058,0.181065,0.181065,2378
2019-07-08,0.181061,0.213469,0.178608,0.193259,0.193259,6322
2019-07-09,0.193332,0.213233,0.158155,0.199594,0.199594,2303
2019-07-10,0.199589,0.212470,0.129376,0.195585,0.195585,3936
2019-07-11,0.195612,0.195612,0.156743,0.158932,0.158932,857
2019-07-12,0.159058,0.179302,0.157544,0.177882,0.177882,375
2019-07-13,0.177911,0.178308,0.153215,0.159708,0.159708,239
2019-07-14,0.159775,0.171546,0.114091,0.138267,0.138267,351
2019-07-15,0.138346,0.153036,0.129975,0.129975,0.129975,6010
2019-07-16,0.129852,0.133966,0.113736,0.114225,0.114225,4878
2019-07-17,0.113889,0.162731,0.110782,0.116263,0.116263,5996
2019-07-18,0.116325,0.129796,0.115440,0.128139,0.128139,4779
2019-07-19,0.128139,0.133294,0.121869,0.132965,0.132965,3165
